School,Room,Tag#,Type,Brand,Model Number,Serial Number,PO#,Vendor,Price,Funds,Purchase Date,Disposal Date
District Office,Technology,54131,Laptop,Lenovo,100e 2nd Gen,R910L733,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54132,Laptop,Lenovo,100e 2nd Gen,R910L741,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54134,Laptop,Lenovo,100e 2nd Gen,R910L5HM,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54135,Laptop,Lenovo,100e 2nd Gen,R910L652,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54137,Laptop,Lenovo,100e 2nd Gen,R910L5T7,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54138,Laptop,Lenovo,100e 2nd Gen,R910L5VQ,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54140,Laptop,Lenovo,100e 2nd Gen,R910L5S0,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54141,Laptop,Lenovo,100e 2nd Gen,R910L5SP,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54143,Laptop,Lenovo,100e 2nd Gen,R910L64C,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54145,Laptop,Lenovo,100e 2nd Gen,R910L5W3,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54146,Laptop,Lenovo,100e 2nd Gen,R910L5WW,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54147,Laptop,Lenovo,100e 2nd Gen,R910L637,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54148,Laptop,Lenovo,100e 2nd Gen,R910L66A,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54150,Laptop,Lenovo,100e 2nd Gen,R910L5FX,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54151,Laptop,Lenovo,100e 2nd Gen,R910L5KL,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54153,Laptop,Lenovo,100e 2nd Gen,R910L5H6,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54156,Laptop,Lenovo,100e 2nd Gen,R910L5ST,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54157,Laptop,Lenovo,100e 2nd Gen,R910L60Q,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54159,Laptop,Lenovo,100e 2nd Gen,R910L5L7,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54160,Laptop,Lenovo,100e 2nd Gen,R910L5L1,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54161,Laptop,Lenovo,100e 2nd Gen,R910L5MR,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
District Office,Technology,54162,Laptop,Lenovo,100e 2nd Gen,R910L5XJ,95349,"CDW Government, Inc.",207,ESSER 1.0,1/6/2021,0000-00-00
